Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Inspection results
Fragrances,SKU-000001,187.1,0,199,37232.9,186,8.0,153,13.86,Amazon Logistics,38.31,Supplier A,Seattle,692,76.72,4.34,Rail,Route E,452.0,Pass
Accessories,SKU-000002,117.38,0,145,17020.1,470,7.23,445,1.66,UPS,40.8,Supplier G,New York,1705,76.04,2.4,Rail,Route A,127.39,Pass
Cosmetics,SKU-000003,142.36,0,52,7402.72,123,13.32,44,5.74,DHL,55.69,Supplier H,Miami,4310,83.12,6.21,Road,Route D,239.31,Pass
Accessories,SKU-000004,185.27,0,413,76516.51,597,27.33,522,6.67,UPS,5.02,Supplier D,Seattle,3477,42.36,1.78,Rail,Route B,424.78,Pass
Accessories,SKU-000005,144.38,1,389,56163.82,662,15.7,204,4.35,DHL,27.92,Supplier H,Atlanta,4171,58.1,7.57,Sea,Route C,58.65,Pass
Haircare,SKU-000006,38.98,0,362,14110.76,561,6.45,104,9.8,USPS,24.78,Supplier D,New York,4402,67.96,0.48,Air,Route D,100.49,Fail
Cosmetics,SKU-000007,119.49,1,99,11829.51,205,3.23,586,9.97,Amazon Logistics,28.8,Supplier E,Miami,3794,24.01,9.59,Sea,Route C,495.75,Pass
Cosmetics,SKU-000008,125.28,0,304,38085.12,987,21.19,163,12.91,UPS,81.56,Supplier B,Chicago,2450,71.03,0.72,Rail,Route A,176.18,Fail
Cosmetics,SKU-000009,90.58,0,350,31703.0,304,12.1,431,11.37,USPS,31.57,Supplier H,Los Angeles,4307,122.52,5.79,Road,Route E,488.99,Pass
Accessories,SKU-000010,149.92,1,254,38079.68,220,24.83,243,8.6,DHL,23.19,Supplier G,Atlanta,1540,125.07,9.02,Rail,Route B,132.14,Pass
Fragrances,SKU-000011,187.53,0,442,82888.26,777,20.13,239,10.15,UPS,52.91,Supplier C,Boston,3726,64.68,0.12,Rail,Route D,212.49,Pass
Cosmetics,SKU-000012,185.86,1,201,37357.86,219,24.09,198,4.84,UPS,87.24,Supplier B,San Francisco,1982,80.23,4.99,Road,Route B,388.79,Fail
Accessories,SKU-000013,95.66,1,327,31280.82,813,8.89,452,9.3,USPS,27.93,Supplier A,Boston,3811,9.88,3.5,Road,Route C,346.0,Pass
Haircare,SKU-000014,31.52,0,115,3624.8,921,21.08,284,7.85,UPS,12.46,Supplier F,Miami,284,102.79,5.8,Road,Route C,311.51,Pass
