Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Inspection results,Profit,Cost_per_Shipment,Inventory_Gap,Revenue_per_Product,Profit_Margin,Total_Lead_Time
Fragrances,SKU-000001,187.1,0,199,37232.9,186,8.0,153,13.86,Amazon Logistics,38.31,Supplier A,Seattle,692,76.72,4.34,Rail,Route E,452.0,Pass,37156.18,0.24876623376623377,33,186.1645,99.79394567707591,21.86
Accessories,SKU-000002,117.38,0,145,17020.1,470,7.23,445,1.66,UPS,40.8,Supplier G,New York,1705,76.04,2.4,Rail,Route A,127.39,Pass,16944.059999999998,0.09147982062780269,25,116.57602739726026,99.55323411730835,8.89
Cosmetics,SKU-000003,142.36,0,52,7402.72,123,13.32,44,5.74,DHL,55.69,Supplier H,Miami,4310,83.12,6.21,Road,Route D,239.31,Pass,7319.6,1.2375555555555555,79,139.67396226415096,98.87716947284243,19.060000000000002
Accessories,SKU-000004,185.27,0,413,76516.51,597,27.33,522,6.67,UPS,5.02,Supplier D,Seattle,3477,42.36,1.78,Rail,Route B,424.78,Pass,76474.15,0.009598470363288718,75,184.8224879227053,99.94463939873891,34.0
Accessories,SKU-000005,144.38,1,389,56163.82,662,15.7,204,4.35,DHL,27.92,Supplier H,Atlanta,4171,58.1,7.57,Sea,Route C,58.65,Pass,56105.72,0.13619512195121952,458,144.00979487179487,99.89655262053044,20.049999999999997
Haircare,SKU-000006,38.98,0,362,14110.76,561,6.45,104,9.8,USPS,24.78,Supplier D,New York,4402,67.96,0.48,Air,Route D,100.49,Fail,14042.800000000001,0.23600000000000002,457,38.87261707988981,99.51838171721438,16.25
Cosmetics,SKU-000007,119.49,1,99,11829.51,205,3.23,586,9.97,Amazon Logistics,28.8,Supplier E,Miami,3794,24.01,9.59,Sea,Route C,495.75,Pass,11805.5,0.04906303236797274,-381,118.2951,99.79703301320173,13.200000000000001
Cosmetics,SKU-000008,125.28,0,304,38085.12,987,21.19,163,12.91,UPS,81.56,Supplier B,Chicago,2450,71.03,0.72,Rail,Route A,176.18,Fail,38014.090000000004,0.4973170731707317,824,124.86924590163936,99.81349671472744,34.1
Cosmetics,SKU-000009,90.58,0,350,31703.0,304,12.1,431,11.37,USPS,31.57,Supplier H,Los Angeles,4307,122.52,5.79,Road,Route E,488.99,Pass,31580.48,0.0730787037037037,-127,90.32193732193733,99.61353815096363,23.47
Accessories,SKU-000010,149.92,1,254,38079.68,220,24.83,243,8.6,DHL,23.19,Supplier G,Atlanta,1540,125.07,9.02,Rail,Route B,132.14,Pass,37954.61,0.09504098360655738,-23,149.33207843137254,99.67155711392533,33.43
Fragrances,SKU-000011,187.53,0,442,82888.26,777,20.13,239,10.15,UPS,52.91,Supplier C,Boston,3726,64.68,0.12,Rail,Route D,212.49,Pass,82823.58,0.2204583333333333,538,187.1066817155756,99.9219672363734,30.28
Cosmetics,SKU-000012,185.86,1,201,37357.86,219,24.09,198,4.84,UPS,87.24,Supplier B,San Francisco,1982,80.23,4.99,Road,Route B,388.79,Fail,37277.63,0.4383919597989949,21,184.939900990099,99.78523930439269,28.93
